cas_znamka	rok	mesiac	den	den_v_tyzdni
2013-01-12 17:54:27.158239	2013	1	12	Sobota
2013-01-13 17:54:27.158239	2013	1	13	Nedela
2013-01-14 17:54:27.158239	2013	1	14	Pondelok
2013-01-15 17:54:27.158239	2013	1	15	Utorok
2013-01-16 17:54:27.158239	2013	1	16	Streda
2013-01-17 17:54:27.158239	2013	1	17	Stvrtok
2013-01-18 17:54:27.158239	2013	1	18	Piatok
2013-01-19 17:54:27.158239	2013	1	19	Sobota
2013-01-20 17:54:27.158239	2013	1	20	Nedela
2013-01-21 17:54:27.158239	2013	1	21	Pondelok
2013-01-22 17:54:27.158239	2013	1	22	Utorok
2013-01-23 17:54:27.158239	2013	1	23	Streda
2013-01-24 17:54:27.158239	2013	1	24	Stvrtok
2013-01-25 17:54:27.158239	2013	1	25	Piatok
2013-01-26 17:54:27.158239	2013	1	26	Sobota
2013-01-27 17:54:27.158239	2013	1	27	Nedela
2013-01-28 17:54:27.158239	2013	1	28	Pondelok
2013-01-29 17:54:27.158239	2013	1	29	Utorok
2013-01-30 17:54:27.158239	2013	1	30	Streda
2013-01-31 17:54:27.158239	2013	1	31	Stvrtok
2013-02-01 17:54:27.158239	2013	2	1	Piatok
2013-02-02 17:54:27.158239	2013	2	2	Sobota
2013-02-03 17:54:27.158239	2013	2	3	Nedela
2013-02-04 17:54:27.158239	2013	2	4	Pondelok
2013-02-05 17:54:27.158239	2013	2	5	Utorok
2013-02-06 17:54:27.158239	2013	2	6	Streda
2013-02-07 17:54:27.158239	2013	2	7	Stvrtok
2013-02-08 17:54:27.158239	2013	2	8	Piatok
2013-02-09 17:54:27.158239	2013	2	9	Sobota
2013-02-10 17:54:27.158239	2013	2	10	Nedela
2013-02-11 17:54:27.158239	2013	2	11	Pondelok
2013-02-12 17:54:27.158239	2013	2	12	Utorok
2013-02-13 17:54:27.158239	2013	2	13	Streda
2013-02-14 17:54:27.158239	2013	2	14	Stvrtok
2013-02-15 17:54:27.158239	2013	2	15	Piatok
2013-02-16 17:54:27.158239	2013	2	16	Sobota
2013-02-17 17:54:27.158239	2013	2	17	Nedela
2013-02-18 17:54:27.158239	2013	2	18	Pondelok
2013-02-19 17:54:27.158239	2013	2	19	Utorok
2013-02-20 17:54:27.158239	2013	2	20	Streda
2013-02-21 17:54:27.158239	2013	2	21	Stvrtok
2013-02-22 17:54:27.158239	2013	2	22	Piatok
2013-02-23 17:54:27.158239	2013	2	23	Sobota
2013-02-24 17:54:27.158239	2013	2	24	Nedela
2013-02-25 17:54:27.158239	2013	2	25	Pondelok
2013-02-26 17:54:27.158239	2013	2	26	Utorok
2013-02-27 17:54:27.158239	2013	2	27	Streda
2013-02-28 17:54:27.158239	2013	2	28	Stvrtok
2013-03-01 17:54:27.158239	2013	3	1	Piatok
2013-03-02 17:54:27.158239	2013	3	2	Sobota
2013-03-03 17:54:27.158239	2013	3	3	Nedela
2013-03-04 17:54:27.158239	2013	3	4	Pondelok
2013-03-05 17:54:27.158239	2013	3	5	Utorok
2013-03-06 17:54:27.158239	2013	3	6	Streda
2013-03-07 17:54:27.158239	2013	3	7	Stvrtok
2013-03-08 17:54:27.158239	2013	3	8	Piatok
2013-03-09 17:54:27.158239	2013	3	9	Sobota
2013-03-10 17:54:27.158239	2013	3	10	Nedela
2013-03-11 17:54:27.158239	2013	3	11	Pondelok
2013-03-12 17:54:27.158239	2013	3	12	Utorok
2013-03-13 17:54:27.158239	2013	3	13	Streda
2013-03-14 17:54:27.158239	2013	3	14	Stvrtok
2013-03-15 17:54:27.158239	2013	3	15	Piatok
2013-03-16 17:54:27.158239	2013	3	16	Sobota
2013-03-17 17:54:27.158239	2013	3	17	Nedela
2013-03-18 17:54:27.158239	2013	3	18	Pondelok
2013-03-19 17:54:27.158239	2013	3	19	Utorok
2013-03-20 17:54:27.158239	2013	3	20	Streda
2013-03-21 17:54:27.158239	2013	3	21	Stvrtok
2013-03-22 17:54:27.158239	2013	3	22	Piatok
2013-03-23 17:54:27.158239	2013	3	23	Sobota
2013-03-24 17:54:27.158239	2013	3	24	Nedela
2013-03-25 17:54:27.158239	2013	3	25	Pondelok
2013-03-26 17:54:27.158239	2013	3	26	Utorok
2013-03-27 17:54:27.158239	2013	3	27	Streda
2013-03-28 17:54:27.158239	2013	3	28	Stvrtok
2013-03-29 17:54:27.158239	2013	3	29	Piatok
2013-03-30 17:54:27.158239	2013	3	30	Sobota
2013-03-31 17:54:27.158239	2013	3	31	Nedela
2013-04-01 17:54:27.158239	2013	4	1	Pondelok
2013-04-02 17:54:27.158239	2013	4	2	Utorok
2013-04-03 17:54:27.158239	2013	4	3	Streda
2013-04-04 17:54:27.158239	2013	4	4	Stvrtok
2013-04-05 17:54:27.158239	2013	4	5	Piatok
2013-04-06 17:54:27.158239	2013	4	6	Sobota
2013-04-07 17:54:27.158239	2013	4	7	Nedela
2013-04-08 17:54:27.158239	2013	4	8	Pondelok
2013-04-09 17:54:27.158239	2013	4	9	Utorok
2013-04-10 17:54:27.158239	2013	4	10	Streda
2013-04-11 17:54:27.158239	2013	4	11	Stvrtok
2013-04-12 17:54:27.158239	2013	4	12	Piatok
2013-04-13 17:54:27.158239	2013	4	13	Sobota
2013-04-14 17:54:27.158239	2013	4	14	Nedela
2013-04-15 17:54:27.158239	2013	4	15	Pondelok
2013-04-16 17:54:27.158239	2013	4	16	Utorok
2013-04-17 17:54:27.158239	2013	4	17	Streda
2013-04-18 17:54:27.158239	2013	4	18	Stvrtok
2013-04-19 17:54:27.158239	2013	4	19	Piatok
2013-04-20 17:54:27.158239	2013	4	20	Sobota
2013-04-21 17:54:27.158239	2013	4	21	Nedela
2013-04-22 17:54:27.158239	2013	4	22	Pondelok
2013-04-23 17:54:27.158239	2013	4	23	Utorok
2013-04-24 17:54:27.158239	2013	4	24	Streda
2013-04-25 17:54:27.158239	2013	4	25	Stvrtok
2013-04-26 17:54:27.158239	2013	4	26	Piatok
2013-04-27 17:54:27.158239	2013	4	27	Sobota
2013-04-28 17:54:27.158239	2013	4	28	Nedela
2013-04-29 17:54:27.158239	2013	4	29	Pondelok
2013-04-30 17:54:27.158239	2013	4	30	Utorok
2013-05-01 17:54:27.158239	2013	5	1	Streda
2013-05-02 17:54:27.158239	2013	5	2	Stvrtok
2013-05-03 17:54:27.158239	2013	5	3	Piatok
2013-05-04 17:54:27.158239	2013	5	4	Sobota
2013-05-05 17:54:27.158239	2013	5	5	Nedela
2013-05-06 17:54:27.158239	2013	5	6	Pondelok
2013-05-07 17:54:27.158239	2013	5	7	Utorok
2013-05-08 17:54:27.158239	2013	5	8	Streda
2013-05-09 17:54:27.158239	2013	5	9	Stvrtok
2013-05-10 17:54:27.158239	2013	5	10	Piatok
2013-05-11 17:54:27.158239	2013	5	11	Sobota
2013-05-12 17:54:27.158239	2013	5	12	Nedela
2013-05-13 17:54:27.158239	2013	5	13	Pondelok
2013-05-14 17:54:27.158239	2013	5	14	Utorok
2013-05-15 17:54:27.158239	2013	5	15	Streda
2013-05-16 17:54:27.158239	2013	5	16	Stvrtok
2013-05-17 17:54:27.158239	2013	5	17	Piatok
2013-05-18 17:54:27.158239	2013	5	18	Sobota
2013-05-19 17:54:27.158239	2013	5	19	Nedela
2013-05-20 17:54:27.158239	2013	5	20	Pondelok
2013-05-21 17:54:27.158239	2013	5	21	Utorok
2013-05-22 17:54:27.158239	2013	5	22	Streda
2013-05-23 17:54:27.158239	2013	5	23	Stvrtok
2013-05-24 17:54:27.158239	2013	5	24	Piatok
2013-05-25 17:54:27.158239	2013	5	25	Sobota
2013-05-26 17:54:27.158239	2013	5	26	Nedela
2013-05-27 17:54:27.158239	2013	5	27	Pondelok
2013-05-28 17:54:27.158239	2013	5	28	Utorok
2013-05-29 17:54:27.158239	2013	5	29	Streda
2013-05-30 17:54:27.158239	2013	5	30	Stvrtok
2013-05-31 17:54:27.158239	2013	5	31	Piatok
2013-06-01 17:54:27.158239	2013	6	1	Sobota
2013-06-02 17:54:27.158239	2013	6	2	Nedela
2013-06-03 17:54:27.158239	2013	6	3	Pondelok
2013-06-04 17:54:27.158239	2013	6	4	Utorok
2013-06-05 17:54:27.158239	2013	6	5	Streda
2013-06-06 17:54:27.158239	2013	6	6	Stvrtok
2013-06-07 17:54:27.158239	2013	6	7	Piatok
2013-06-08 17:54:27.158239	2013	6	8	Sobota
2013-06-09 17:54:27.158239	2013	6	9	Nedela
2013-06-10 17:54:27.158239	2013	6	10	Pondelok
2013-06-11 17:54:27.158239	2013	6	11	Utorok
2013-06-12 17:54:27.158239	2013	6	12	Streda
2013-06-13 17:54:27.158239	2013	6	13	Stvrtok
2013-06-14 17:54:27.158239	2013	6	14	Piatok
2013-06-15 17:54:27.158239	2013	6	15	Sobota
2013-06-16 17:54:27.158239	2013	6	16	Nedela
2013-06-17 17:54:27.158239	2013	6	17	Pondelok
2013-06-18 17:54:27.158239	2013	6	18	Utorok
2013-06-19 17:54:27.158239	2013	6	19	Streda
2013-06-20 17:54:27.158239	2013	6	20	Stvrtok
2013-06-21 17:54:27.158239	2013	6	21	Piatok
2013-06-22 17:54:27.158239	2013	6	22	Sobota
2013-06-23 17:54:27.158239	2013	6	23	Nedela
2013-06-24 17:54:27.158239	2013	6	24	Pondelok
2013-06-25 17:54:27.158239	2013	6	25	Utorok
2013-06-26 17:54:27.158239	2013	6	26	Streda
2013-06-27 17:54:27.158239	2013	6	27	Stvrtok
2013-06-28 17:54:27.158239	2013	6	28	Piatok
2013-06-29 17:54:27.158239	2013	6	29	Sobota
2013-06-30 17:54:27.158239	2013	6	30	Nedela
2013-07-01 17:54:27.158239	2013	7	1	Pondelok
2013-07-02 17:54:27.158239	2013	7	2	Utorok
2013-07-03 17:54:27.158239	2013	7	3	Streda
2013-07-04 17:54:27.158239	2013	7	4	Stvrtok
2013-07-05 17:54:27.158239	2013	7	5	Piatok
2013-07-06 17:54:27.158239	2013	7	6	Sobota
2013-07-07 17:54:27.158239	2013	7	7	Nedela
2013-07-08 17:54:27.158239	2013	7	8	Pondelok
2013-07-09 17:54:27.158239	2013	7	9	Utorok
2013-07-10 17:54:27.158239	2013	7	10	Streda
2013-07-11 17:54:27.158239	2013	7	11	Stvrtok
2013-07-12 17:54:27.158239	2013	7	12	Piatok
2013-07-13 17:54:27.158239	2013	7	13	Sobota
2013-07-14 17:54:27.158239	2013	7	14	Nedela
2013-07-15 17:54:27.158239	2013	7	15	Pondelok
2013-07-16 17:54:27.158239	2013	7	16	Utorok
2013-07-17 17:54:27.158239	2013	7	17	Streda
2013-07-18 17:54:27.158239	2013	7	18	Stvrtok
2013-07-19 17:54:27.158239	2013	7	19	Piatok
2013-07-20 17:54:27.158239	2013	7	20	Sobota
2013-07-21 17:54:27.158239	2013	7	21	Nedela
2013-07-22 17:54:27.158239	2013	7	22	Pondelok
2013-07-23 17:54:27.158239	2013	7	23	Utorok
2013-07-24 17:54:27.158239	2013	7	24	Streda
2013-07-25 17:54:27.158239	2013	7	25	Stvrtok
2013-07-26 17:54:27.158239	2013	7	26	Piatok
2013-07-27 17:54:27.158239	2013	7	27	Sobota
2013-07-28 17:54:27.158239	2013	7	28	Nedela
2013-07-29 17:54:27.158239	2013	7	29	Pondelok
2013-07-30 17:54:27.158239	2013	7	30	Utorok
2013-07-31 17:54:27.158239	2013	7	31	Streda
2013-08-01 17:54:27.158239	2013	8	1	Stvrtok
2013-08-02 17:54:27.158239	2013	8	2	Piatok
2013-08-03 17:54:27.158239	2013	8	3	Sobota
2013-08-04 17:54:27.158239	2013	8	4	Nedela
2013-08-05 17:54:27.158239	2013	8	5	Pondelok
2013-08-06 17:54:27.158239	2013	8	6	Utorok
2013-08-07 17:54:27.158239	2013	8	7	Streda
2013-08-08 17:54:27.158239	2013	8	8	Stvrtok
2013-08-09 17:54:27.158239	2013	8	9	Piatok
2013-08-10 17:54:27.158239	2013	8	10	Sobota
2013-08-11 17:54:27.158239	2013	8	11	Nedela
2013-08-12 17:54:27.158239	2013	8	12	Pondelok
2013-08-13 17:54:27.158239	2013	8	13	Utorok
2013-08-14 17:54:27.158239	2013	8	14	Streda
2013-08-15 17:54:27.158239	2013	8	15	Stvrtok
2013-08-16 17:54:27.158239	2013	8	16	Piatok
2013-08-17 17:54:27.158239	2013	8	17	Sobota
2013-08-18 17:54:27.158239	2013	8	18	Nedela
2013-08-19 17:54:27.158239	2013	8	19	Pondelok
2013-08-20 17:54:27.158239	2013	8	20	Utorok
2013-08-21 17:54:27.158239	2013	8	21	Streda
2013-08-22 17:54:27.158239	2013	8	22	Stvrtok
2013-08-23 17:54:27.158239	2013	8	23	Piatok
2013-08-24 17:54:27.158239	2013	8	24	Sobota
2013-08-25 17:54:27.158239	2013	8	25	Nedela
2013-08-26 17:54:27.158239	2013	8	26	Pondelok
2013-08-27 17:54:27.158239	2013	8	27	Utorok
2013-08-28 17:54:27.158239	2013	8	28	Streda
2013-08-29 17:54:27.158239	2013	8	29	Stvrtok
2013-08-30 17:54:27.158239	2013	8	30	Piatok
2013-08-31 17:54:27.158239	2013	8	31	Sobota
2013-09-01 17:54:27.158239	2013	9	1	Nedela
2013-09-02 17:54:27.158239	2013	9	2	Pondelok
2013-09-03 17:54:27.158239	2013	9	3	Utorok
2013-09-04 17:54:27.158239	2013	9	4	Streda
2013-09-05 17:54:27.158239	2013	9	5	Stvrtok
2013-09-06 17:54:27.158239	2013	9	6	Piatok
2013-09-07 17:54:27.158239	2013	9	7	Sobota
2013-09-08 17:54:27.158239	2013	9	8	Nedela
2013-09-09 17:54:27.158239	2013	9	9	Pondelok
2013-09-10 17:54:27.158239	2013	9	10	Utorok
2013-09-11 17:54:27.158239	2013	9	11	Streda
2013-09-12 17:54:27.158239	2013	9	12	Stvrtok
2013-09-13 17:54:27.158239	2013	9	13	Piatok
2013-09-14 17:54:27.158239	2013	9	14	Sobota
2013-09-15 17:54:27.158239	2013	9	15	Nedela
2013-09-16 17:54:27.158239	2013	9	16	Pondelok
2013-09-17 17:54:27.158239	2013	9	17	Utorok
2013-09-18 17:54:27.158239	2013	9	18	Streda
2013-09-19 17:54:27.158239	2013	9	19	Stvrtok
2013-09-20 17:54:27.158239	2013	9	20	Piatok
2013-09-21 17:54:27.158239	2013	9	21	Sobota
2013-09-22 17:54:27.158239	2013	9	22	Nedela
2013-09-23 17:54:27.158239	2013	9	23	Pondelok
2013-09-24 17:54:27.158239	2013	9	24	Utorok
2013-09-25 17:54:27.158239	2013	9	25	Streda
2013-09-26 17:54:27.158239	2013	9	26	Stvrtok
2013-09-27 17:54:27.158239	2013	9	27	Piatok
2013-09-28 17:54:27.158239	2013	9	28	Sobota
2013-09-29 17:54:27.158239	2013	9	29	Nedela
2013-09-30 17:54:27.158239	2013	9	30	Pondelok
2013-10-01 17:54:27.158239	2013	10	1	Utorok
2013-10-02 17:54:27.158239	2013	10	2	Streda
2013-10-03 17:54:27.158239	2013	10	3	Stvrtok
2013-10-04 17:54:27.158239	2013	10	4	Piatok
2013-10-05 17:54:27.158239	2013	10	5	Sobota
2013-10-06 17:54:27.158239	2013	10	6	Nedela
2013-10-07 17:54:27.158239	2013	10	7	Pondelok
2013-10-08 17:54:27.158239	2013	10	8	Utorok
2013-10-09 17:54:27.158239	2013	10	9	Streda
2013-10-10 17:54:27.158239	2013	10	10	Stvrtok
2013-10-11 17:54:27.158239	2013	10	11	Piatok
2013-10-12 17:54:27.158239	2013	10	12	Sobota
2013-10-13 17:54:27.158239	2013	10	13	Nedela
2013-10-14 17:54:27.158239	2013	10	14	Pondelok
2013-10-15 17:54:27.158239	2013	10	15	Utorok
2013-10-16 17:54:27.158239	2013	10	16	Streda
2013-10-17 17:54:27.158239	2013	10	17	Stvrtok
2013-10-18 17:54:27.158239	2013	10	18	Piatok
