id_zamestnanec,id_dodavatel,id_cas,id_tovar,poznamka,pocet_kusov
192,16,88,302,Aliquam fringilla cursus purus. Nullam scelerisque neque,338
181,19,106,170,"lectus rutrum urna,",220
180,13,140,299,"at, velit. Pellentesque ultricies dignissim",78
125,37,167,290,diam dictum sapien.,357
170,69,433,158,mollis. Duis sit amet,49
146,2,463,6,tellus. Aenean egestas hendrerit neque. In,60
247,65,936,283,eget tincidunt dui augue eu tellus.,119
116,15,671,156,"malesuada vel, convallis in, cursus et,",135
161,35,86,41,augue eu tellus.,103
272,1,401,300,"malesuada vel, venenatis vel,",217
271,25,600,73,orci lobortis augue scelerisque mollis. Phasellus,78
38,70,746,107,"risus a ultricies adipiscing, enim mi tempor",61
120,60,699,418,Nulla facilisi. Sed,332
109,63,872,115,turpis non enim. Mauris,216
60,42,27,351,msll Cbrte.uiue.uqr tcmuaau  Cv,74
246,45,686,296,mnao .crpnis uu,981
147,54,763,335,augue eu tellus.,117
23,21,330,368,lorem ac risus.,308
40,19,805,196,"leo elementum sem, vitae aliquam",164
168,11,635,423,"gv,ecpt uu,a ede stienatlr necateim",152
46,53,62,151,ac risus. Morbi metus. Vivamus,106
223,48,647,219,"ingciisspe.granf   eilie, csa,ndneMail lmaecntai f",315
31,55,840,430,"mollis dui, in sodales elit erat",201
256,52,624,130,luctus et ultrices posuere cubilia Curae,97
258,47,438,134,solaum ssttsrcb ui dC.iisolau ql,292
114,2,758,377,"ornare, lectus ante dictum mi, ac mattis",40
65,16,992,189,ridiculus mus. Proin vel nisl.,376
153,66,934,273,"mattis. Integer eu lacus. Quisque imperdiet,",325
208,17,551,7,feugiat. Lorem ipsum dolor,221
15,65,223,244,arcu. Aliquam ultrices iaculis odio.,274
61,67,691,419,iqsuu Qu tsaeuapus.rlc ,115
228,54,917,298,Donec tincidunt. Donec vitae erat vel pede,290
229,41,963,393,"dui, nec tempus",185
156,13,843,49,"pse cm u.,oteDenig",188
29,46,471,250,"dolor sit amet, consectetuer adipiscing elit. Etiam",24
2,65,560,271,"lectus. Nullam suscipit, est ac",80
67,19,619,215,"risus. Quisque libero lacus, varius et,",368
276,56,929,429,"pharetra, felis eget varius ultrices, mauris ipsum",80
229,44,462,23,ssiua tiatcc diooq,233
173,26,912,317,tristique senectus et netus et,211
54,30,935,275,"elit sed consequat auctor,",337
262,53,911,102,"nec ante. Maecenas mi felis, adipiscing fringilla,",22
219,22,829,388,nec metus facilisis lorem tristique aliquet. Phasellus,104
112,53,702,43,Nullam ut nisi a odio semper cursus.,151
182,55,474,262,aolr PspNital. unui  .qiuterlue,174
257,51,141,97,mus. Proin vel arcu,167
200,12,23,178,acitlMvtienun eqed .hrsiPoblue cnilute,217
259,45,575,396,neque pellentesque massa,84
197,4,88,314,ipsum non arcu.,287
157,58,924,7,sem ut dolor dapibus gravida.,256
94,54,867,393,"dictum mi, ac mattis",289
181,5,91,16,"ra  trencminae  e,e pnlnduidaosic u,ul,,utfbnise",162
234,28,967,57,"rutrum urna, nec luctus felis purus",316
237,26,753,389,ac ipsum. Phasellus,281
106,44,736,164,"dictum mi, ac mattis",727
229,69,21,25,ac arcu. Nunc mauris. Morbi non sapien,363
238,26,519,390,orci lobortis augue scelerisque mollis. Phasellus,336
135,30,437,406,tincidunt pede ac urna. Ut tincidunt vehicula,248
145,22,977,197,"sed consequat auctor, nunc nulla vulputate",69
124,65,83,65,malesuada. Integer id,286
244,32,408,3,massa rutrum magna. Cras convallis,361
10,27,653,47,"est mauris, rhoncus id, mollis",357
243,13,658,446,"pede, nonummy ut, molestie in, tempus",193
40,17,463,294,nulla. Cras eu tellus eu augue porttitor,368
67,16,754,351,mouA.suao u.airirdi cau  letiiclqlsc,132
97,57,289,288,arcu. Morbi sit amet massa.,80
160,18,576,60,"elit. Etiam laoreet,",96
94,55,546,433,ac orci. Ut,275
145,35,78,412,"ultrices a, auctor non, feugiat nec,",300
87,34,733,13,"nec ante. Maecenas mi felis, adipiscing fringilla,",7
115,8,45,249,edism  ouNir.lus  ptasou mrialesu nc,359
217,14,448,51,ipsum primis in,240
36,11,758,367,"lectus. Nullam suscipit, est ac",216
20,15,957,60,"diam lorem, auctor quis, tristique ac, eleifend",213
35,6,339,436,"sed consequat auctor, nunc nulla vulputate",234
65,12,3,150,"lectus rutrum urna, nec luctus felis purus",184
268,22,883,3,p.msy e cdinuisaun urm ntcinou,196
232,25,865,38,"eget, dictum placerat, augue. Sed molestie. Sed",338
187,61,696,206,a felis ullamcorper viverra. Maecenas iaculis,241
189,40,499,160,sit amet risus.,338
10,27,580,67,"consequat purus. Maecenas libero est, congue a,",75
64,64,957,233,ultrices posuere cubilia Curae,293
33,10,69,334,aliquam eros turpis,283
159,41,119,294,"nec, cursus a, enim. Suspendisse aliquet,",581
80,20,9,231,auctor velit. Aliquam nisl. Nulla,331
271,8,928,314,"gravida non, sollicitudin",229
97,30,615,20,"eget, dictum placerat, augue. Sed molestie. Sed",285
67,14,939,217,nunc. In at pede. Cras vulputate velit,238
95,41,825,172,libero. Donec consectetuer mauris,244
220,15,105,123,quis arcu vel quam dignissim,50
225,32,380,36,"ut, nulla. Cras eu tellus eu",169
101,52,557,221,eumse idimsaou ur,114
219,44,233,41,neque. Nullam ut nisi a odio semper,272
69,30,205,285,sem ut dolor dapibus gravida.,172
219,50,523,262,"feugiat nec, diam. Duis mi",96
157,56,403,105,dolor egestas rhoncus. Proin nisl,41
32,57,582,356,justo sit amet nulla. Donec,301
132,45,124,235,"est mauris, rhoncus id, mollis",292
98,60,187,204,sit amet massa. Quisque,117
93,63,918,52,nulla. Donec non justo. Proin non,286
184,67,102,208,"lectus rutrum urna,",262
146,16,119,38,"Nunc lectus pede, ultrices",169
35,26,584,282,"nulla. Integer vulputate, risus a ultricies",165
72,40,997,439,ultrices posuere cubilia Curae,260
215,2,365,131,"dolor, tempus non, lacinia at, iaculis",80
174,47,767,416,"dolor sit amet, consectetuer adipiscing elit. Curabitur",282
215,46,813,313,"rhoncus id, mollis nec, cursus a,",245
40,10,80,376,"pede sagittis augue,",243
187,53,702,219,a felis ullamcorper viverra.,286
162,34,51,245,convallis ligula. Donec luctus aliquet,114
167,23,908,368,arcu. Morbi sit amet massa.,68
50,16,815,364,"purus sapien, gravida non, sollicitudin a, malesuada",377
202,34,492,373,"auctor, nunc nulla vulputate",264
225,58,601,261,Vestibulum ante ipsum,320
249,56,715,166,"nec ante. Maecenas mi felis, adipiscing fringilla,",75
202,14,484,289,Nullam nisl. Maecenas malesuada fringilla est.,267
128,56,595,441,dignissim tempor arcu.,339
150,47,767,203,c leusausipcri ir braoe ltueuCete,138
73,44,204,202,sociis natoque penatibus,141
180,27,502,90,"nec, mollis vitae, posuere at, velit. Cras",343
201,66,164,327,neque. Nullam ut nisi,292
11,46,422,350,"cursus in, hendrerit consectetuer,",305
126,17,427,385,dolor. Quisque tincidunt pede,147
267,61,677,165,russDtms.carctn. uag. iee sues a Dc iopeus,169
3,11,336,207,"nulla. Integer vulputate, risus a ultricies",268
49,48,882,280,iuiscup eanu dnscrit ,2
120,41,111,392,tincidunt vehicula risus. Nulla,326
248,21,310,58,morbi tristique senectus et netus et malesuada,223
233,35,122,160,"cursus in, hendrerit",175
257,15,179,279,a mi fringilla mi lacinia,123
94,42,819,1,"blandit enim consequat purus. Maecenas libero est,",246
1,57,290,155,"blandit enim consequat purus. Maecenas libero est,",285
25,58,3,97,cubilia Curae,169
108,27,208,68,"cursus in, hendrerit consectetuer, cursus",117
16,63,194,360,"non, egestas a, dui.",274
6,59,679,29,eget metus. In nec,71
60,61,284,52,Ut sagittis lobortis,264
76,24,916,253,arcu. Sed et libero.,117
121,67,623,271,"cursus in, hendrerit consectetuer, cursus",520
281,66,866,148,"nec, mollis vitae, posuere at, velit. Cras",110
22,2,195,174,tortor nibh sit amet orci. Ut,53
163,30,668,445,"sit amet, dapibus id,",249
4,42,103,419,massa rutrum magna. Cras convallis,28
191,69,679,273,ultricies dignissim lacus. Aliquam rutrum lorem,11
125,27,870,251,"consectetuer, cursus et, magna. Praesent interdum ligula",324
168,36,460,103,et libero. Proin mi. Aliquam gravida,283
191,47,562,338,Nunc ac sem ut dolor dapibus gravida.,65
182,47,694,415,"ut, nulla. Cras eu tellus eu",91
45,20,249,392,Quisque fringilla euismod,723
203,24,941,340,"ut lacus. Nulla tincidunt, neque vitae",262
147,21,918,249,"ut, nulla. Cras eu tellus eu",202
281,62,510,20,"aliquet vel, vulputate eu, odio. Phasellus",73
172,29,274,175,"Nam nulla magna, malesuada vel,",146
125,23,584,237,Pellentesque ultricies dignissim lacus. Aliquam,198
219,24,358,321,nisi. Cum sociis natoque penatibus,346
174,65,209,292,consequat enim diam,172
114,3,93,3,"rutrum urna, nec luctus felis purus",16
219,65,102,187,Sed neque. Sed,364
209,61,726,383,goopf ietuLloa . rmrdeiusm,373
134,30,898,349,luctus et ultrices posuere cubilia Curae,231
67,29,928,449,"malesuada vel, venenatis vel,",254
93,28,406,60,"hendrerit id, ante. Nunc mauris sapien, cursus",5
2,66,997,260,Duis volutpat nunc sit amet metus. Aliquam,513
195,13,410,425,eget metus eu erat semper rutrum. Fusce,130
251,17,249,303,Nulla facilisi. Sed,184
149,16,768,211,"consequat nec, mollis vitae, posuere at, velit.",216
38,11,935,229,purus mauris a nunc. In,81
251,37,880,25,"porttitor tellus non magna. Nam ligula elit,",181
274,8,500,182,"Nunc lectus pede, ultrices",64
185,66,561,204,ultrices posuere cubilia Curae,250
27,12,879,289,vitae erat vel,316
277,53,81,143,"nec ante blandit viverra. Donec tempus, lorem",201
30,8,703,10,"orci, in consequat enim diam vel",124
228,11,567,257,mauris sit amet lorem semper auctor. Mauris,292
14,43,156,76,taciti sociosqu ad,148
212,21,677,389,tempus risus. Donec egestas. Duis ac arcu.,366
89,45,56,386,"e n.s, csFo irlu, dcmedoiueon",306
83,2,966,3,nt uet .qssiruiavlaeln mhtilimesas qrllufeouPect,197
185,24,170,196,"spt elvledl  ctimt ur v, munaai,,iNeaiaeeil",339
250,36,224,184,Nulla tempor augue ac,320
178,55,91,432,mus. Proin vel arcu,247
246,57,62,349,ligula. Nullam feugiat,224
237,8,311,116,DsioFi.ssiuoel erms r.lnu atc ,98
58,33,317,327,adipiscing ligula. Aenean gravida,1
62,33,668,212,"nec ante. Maecenas mi felis, adipiscing fringilla,",280
192,2,640,291,"tincidunt nibh. Phasellus nulla. Integer vulputate, risus",9
217,48,26,80,"elementum at, egestas a, scelerisque sed,",61
76,53,229,77,varius. Nam porttitor scelerisque,122
90,53,493,346,lacus pede sagittis,143
90,56,217,88,mauris a nunc. In at pede.,79
6,4,871,115,cubilia Curae,181
41,19,393,34,"r,tesrss  uomiond upesemceluieprmsa qsilues ,pl u",96
85,17,424,74,"lectus sit amet luctus vulputate, nisi sem",335
255,59,92,62,"congue a, aliquet vel, vulputate eu, odio.",227
249,38,476,193,"ante, iaculis nec, eleifend",331
55,48,407,142,uts liaeomt e.qtleuelils,220
112,28,326,272,"ut lacus. Nulla tincidunt, neque vitae",78
140,4,845,214,ipsum cursus vestibulum. Mauris,91
22,53,182,64,"elementum sem, vitae aliquam",154
121,3,596,320,"dolor sit amet, consectetuer adipiscing elit. Curabitur",190
161,60,150,420,mauris a nunc. In at pede.,50
154,33,751,40,sed turpis nec mauris,124
136,48,307,353,netus et malesuada fames ac turpis egestas.,216
3,64,665,18,"lectus sit amet luctus vulputate, nisi sem",151
226,53,204,43,mauris sit amet lorem semper auctor. Mauris,155
67,62,996,346,"nulla. Integer vulputate, risus a ultricies",147
225,15,38,394,"lacus vestibulum lorem, sit amet ultricies",90
121,12,213,306,lobortis. Class aptent taciti,51
76,30,771,45,ligula. Nullam feugiat,73
161,3,328,149,ridiculus mus. Proin vel nisl.,304
246,11,211,105,diam dictum sapien.,277
159,59,206,213,"varius et, euismod et, commodo at, libero.",249
178,52,986,9,quis arcu vel quam dignissim,71
34,69,113,387,ligula. Nullam feugiat,218
27,46,54,449,Duis volutpat nunc sit amet metus. Aliquam,68
77,59,534,35,"pede, malesuada vel,",10
185,39,125,399,"ens eiur.atuCtgi,o rco apcrrs oudceslitniitet.ar em tbtde",190
175,37,60,321,Ut semper pretium neque. Morbi quis,266
236,60,847,353,non justo. Proin non massa non,69
139,34,829,296,Nulla facilisi. Sed,77
216,12,805,212,magna a tortor. Nunc,23
164,4,240,2,eu turpis. Nulla aliquet. Proin,224
62,67,103,6,"vitae, aliquet nec, imperdiet nec, leo.",37
161,23,408,400,eu augue porttitor,263
153,21,373,87,neque. Nullam ut nisi a odio semper,2
9,21,354,114,justo. Proin non massa non ante,289
126,9,8,313,"dictum mi, ac mattis",149
118,4,369,286,"blandit viverra. Donec tempus, lorem fringilla",72
181,39,323,69,cubilia Curae,37
115,6,877,23,amet orci. Ut sagittis lobortis mauris.,193
91,42,514,257,Donec porttitor tellus,15
111,9,364,232,Morbi metus. Vivamus euismod urna. Nullam,157
51,24,263,352,lobortis. Class aptent taciti,206
176,5,883,286,ac metus vitae,131
116,37,723,75,ued meeselnep ls o te .aasCsasirfg.sdSeie.d ens,226
91,65,675,76,id ante dictum cursus. Nunc mauris,149
271,24,145,230,"eget, dictum placerat, augue. Sed molestie. Sed",165
239,62,236,16,Sed neque. Sed,310
180,20,888,161,"u, . nhsaceinbonm, e riestistm Di",84
225,43,536,424,"elit. Etiam laoreet,",326
117,55,706,321,"Nunc lectus pede, ultrices",78
283,26,465,60,mollis. Duis sit amet,234
273,56,588,251,malesuada. Integer id,172
14,37,328,224,enim diam vel arcu. Curabitur ut,104
28,53,507,251,amet lorem semper auctor.,264
65,43,65,143,varius. Nam porttitor scelerisque,146
114,59,430,146,"mattis. Integer eu lacus. Quisque imperdiet,",5
8,51,197,342,eget metus eu erat semper,124
241,29,104,133,Vestibulum ante ipsum,116
191,29,289,412,"dui quis accumsan convallis, ante lectus",350
139,54,134,371,"luctus, ipsum leo",223
117,27,682,211,mauris sit amet lorem semper auctor. Mauris,12
238,47,932,149,"nec, cursus a, enim. Suspendisse aliquet,",94
72,49,154,446,"pellentesque, tellus sem mollis dui, in",186
242,22,217,21,"Nunc ut erat. Sed nunc est,",244
40,25,122,425,senectus et netus et malesuada,166
67,6,45,219,massa lobortis ultrices. Vivamus,141
143,29,889,154,sem ut dolor dapibus gravida.,219
44,61,856,343,"in aliquet lobortis, nisi",216
207,36,854,9,"sed consequat auctor, nunc nulla vulputate",202
255,9,841,411,vel sapien imperdiet ornare. In,301
133,11,750,63,vulputate ullamcorper magna. Sed eu,115
154,28,25,246,"enim, gravida sit amet,",293
192,57,523,177,eu neque pellentesque massa,215
105,50,276,178,"cursus in, hendrerit consectetuer,",327
14,66,644,396,"lobortis quis, pede. Suspendisse dui.",239
37,62,577,287,lacus pede sagittis,320
132,25,380,342,"egestas a, scelerisque sed, sapien.",84
179,63,552,330,"ipsum porta elit, a feugiat tellus",174
128,19,520,242,nai  sn  sgabutde iirsieesaqtuctntiesortaumpopni ,87
224,63,966,6,risus quis diam,18
211,19,632,238,Fusce aliquet magna a neque.,185
153,39,96,329,"blandit enim consequat purus. Maecenas libero est,",223
256,50,145,398,"enim, gravida sit amet,",236
220,24,897,288,Nunc ac sem ut dolor dapibus gravida.,211
165,4,247,276,ultrices posuere cubilia Curae,346
141,44,645,169,euismod mauris eu elit. Nulla facilisi.,149
103,41,865,370,nonummy ipsum non arcu.,375
189,53,789,206,"Nunc ut erat. Sed nunc est,",359
78,27,544,199,"ullamcorper, velit in aliquet lobortis, nisi",143
55,33,171,67,"nec ante. Maecenas mi felis, adipiscing fringilla,",259
36,14,88,109,neque. Nullam ut nisi a odio semper,118
14,51,764,282,pede. Cras vulputate,427
70,57,475,106,"consectetuer, cursus et, magna. Praesent interdum ligula",263
161,18,525,105,"ullamcorper, velit in aliquet lobortis, nisi",74
197,11,403,222,"dui, nec tempus",270
264,44,587,265,ridiculus mus. Proin vel nisl.,158
205,23,535,431,turpis. In condimentum. Donec at,168
85,54,716,426,ictur smiatslrr.a esatp aaCsig,121
93,65,397,220,"tempus scelerisque, lorem ipsum sodales purus, in",25
263,36,872,330,"le iu  nsl esdiisld,lmitaoo",130
121,27,797,387,"be  u,tuai uau ftsltia rsn,C.scmla",69
21,8,740,307,eget massa. Suspendisse eleifend. Cras sed leo.,369
1,37,781,303,"cursus in, hendrerit consectetuer,",164
143,56,232,44,dui nec urna suscipit nonummy.,8
70,26,735,257,"tincidunt nibh. Phasellus nulla. Integer vulputate, risus",331
117,40,434,250,aliquet molestie tellus.,344
187,17,349,386,"su guacdtsiip,vioeagui tetrperli,n iupt llt ealpprvluot,a riftos,fen",262
76,26,685,173,Donec porttitor tellus non,354
68,2,807,53,euismod mauris eu elit. Nulla facilisi.,1
7,30,106,76,dolor egestas rhoncus. Proin nisl,102
