id_zamestnanec,id_pobocka
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,1
14,2
15,3
16,4
17,5
18,6
19,7
20,8
21,9
22,10
23,11
24,12
25,1
26,2
27,3
28,4
29,5
30,6
31,7
32,8
33,9
34,10
35,11
36,12
37,1
38,2
39,3
40,4
41,5
42,6
43,7
44,8
45,9
46,10
47,11
48,12
49,1
50,2
51,3
52,4
53,5
54,6
55,7
56,8
57,9
58,10
59,11
60,12
61,1
62,2
63,3
64,4
65,5
66,6
67,7
68,8
69,9
70,10
71,11
72,12
73,1
74,2
75,3
76,4
77,5
78,6
79,7
80,8
81,9
82,10
83,11
84,12
85,1
86,2
87,3
88,4
89,5
90,6
91,7
92,8
93,9
94,10
95,11
96,12
97,1
98,2
99,3
100,4
101,5
102,6
103,7
104,8
105,9
106,10
107,11
108,12
109,1
110,2
111,3
112,4
113,5
114,6
115,7
116,8
117,9
118,10
119,11
120,12
121,1
122,2
123,3
124,4
125,5
126,6
127,7
128,8
129,9
130,10
131,11
132,12
133,1
134,2
135,3
136,4
137,5
138,6
139,7
140,8
141,9
142,10
143,11
144,12
145,1
146,2
147,3
148,4
149,5
150,6
151,7
152,8
153,9
154,10
155,11
156,12
157,1
158,2
159,3
160,4
161,5
162,6
163,7
164,8
165,9
166,10
167,11
168,12
169,1
170,2
171,3
172,4
173,5
174,6
175,7
176,8
177,9
178,10
179,11
180,12
181,1
182,2
183,3
184,4
185,5
186,6
187,7
188,8
189,9
190,10
191,11
192,12
193,1
194,2
195,3
196,4
197,5
198,6
199,7
200,8
201,9
202,10
203,11
204,12
205,1
206,2
207,3
208,4
209,5
210,6
211,7
212,8
213,9
214,10
215,11
216,12
217,1
218,2
219,3
220,4
221,5
222,6
223,7
224,8
225,9
226,10
227,11
228,12
229,1
230,2
231,3
232,4
233,5
234,6
235,7
236,8
237,9
238,10
239,11
240,12
241,1
242,2
243,3
244,4
245,5
246,6
247,7
248,8
249,9
250,10
251,11
252,12
253,1
254,2
255,3
256,4
257,5
258,6
259,7
260,8
261,9
262,10
263,11
264,12
265,1
266,2
267,3
268,4
269,5
270,6
271,7
272,8
273,9
274,10
275,11
276,12
277,1
278,2
279,3
280,4
281,5
282,6
283,7
