id_faktura,id_zamestnanec,id_tovar,id_zakaznik,id_cas,id_pobocka,suma,naklady,vybavenie,poznamka,prevzatie,platba,stav_objednavky
1146,115,436,99,576,1,76.905831974,86.7298456142,0,"varius et, euismod et, commodo",kurier,nezaplatena,Pripravuje sa
1735,2,83,308,459,1,478.2307096757,60.144029581,1,Aliquam vulputate ullamcorper,dobierka,zaplatena,Pripravuje sa
491,155,37,60,485,6,40.372877568,14.8122232687,0,placerat velit. Quisque varius. Nam porttitor,kurier,nezaplatena,Prijata
1955,283,262,323,697,2,62.1226501185,12.7595144184,1,"elit. Etiam laoreet, libero et tristique",osobny_odber,nezaplatena,Odoslana
1417,125,94,44,418,1,728.4950469621,87.5261350069,1,turpis non enim. Mauris,kurier,nezaplatena,Odoslana
439,48,224,218,583,5,25.8432238828,14.30457565,0,"mollis non, cursus non, egestas a,",kurier,nezaplatena,Zrusena
638,3,263,25,464,3,68.8423554413,14.5057178568,1,"dis parturient montes, nascetur",kurier,nezaplatena,Vybavena
753,223,12,159,29,10,32.80968084,410.5655122083,1,ac tellus. Suspendisse sed dolor. Fusce,osobny_odber,zaplatena,Prijata
1155,278,34,333,763,9,72.2375011072,849.6305328794,0,vitae sodales nisi,dobierka,zaplatena,Zrusena
1145,97,415,297,341,8,22.7567390073,834.6869548783,0,"tincidunt orci quis lectus. Nullam suscipit,",kurier,nezaplatena,Vybavena
194,164,353,365,456,1,88.0580856465,88.1434066873,0,Aenean euismod mauris eu,kurier,nezaplatena,Zrusena
78,176,151,501,589,10,681.0592114925,19.5540048229,1,"Fusce diam nunc, ullamcorper eu,",osobny_odber,zaplatena,Zrusena
465,139,127,233,938,11,456.1839024536,88.517193594,1,semper pretium neque.,osobny_odber,nezaplatena,Pripravuje sa
49,94,22,421,98,9,34.5073922537,492.3136015423,1,"non, luctus sit",dobierka,nezaplatena,Odoslana
1633,228,319,82,229,9,519.7545606643,22.63167731,0,porttitor eros nec tellus. Nunc,osobny_odber,nezaplatena,Vybavena
273,175,18,236,777,9,872.5120397285,2.6998318825,0,nec orci. Donec nibh. Quisque,osobny_odber,zaplatena,Zrusena
1849,233,327,501,445,6,367.876177188,26.2918222044,0,Donec fringilla. Donec feugiat,dobierka,nezaplatena,Vybavena
1180,109,89,427,383,12,98.0628355406,18.5811946448,0,"vulputate dui, nec tempus",kurier,nezaplatena,Vybavena
1898,181,45,19,213,10,80.3660070989,114.6712800488,0,lacus. Mauris non,dobierka,zaplatena,Vybavena
1347,93,309,250,101,3,28.0056554358,21.6877222527,0,Nulla semper tellus id nunc interdum,osobny_odber,zaplatena,Pripravuje sa
8,230,298,494,501,3,607.4515180662,79.2522770818,1,nisl. Nulla eu,dobierka,nezaplatena,Pripravuje sa
737,127,114,207,354,7,35.4544206522,885.6239644345,0,natoque penatibus et magnis dis,osobny_odber,nezaplatena,Zrusena
214,171,402,418,219,5,62.2314437293,336.016294593,1,sociis natoque penatibus et,osobny_odber,nezaplatena,Pripravuje sa
1618,231,427,67,304,10,22.7567390073,39.3724447349,0,velit justo nec,osobny_odber,zaplatena,Pripravuje sa
306,246,445,254,221,6,98.1722326018,89.393886812,1,"Sed nulla ante,",dobierka,nezaplatena,Vybavena
1172,98,270,129,718,12,32.4569965713,336.016294593,0,odio vel est tempor bibendum.,osobny_odber,zaplatena,Odoslana
1638,280,193,255,91,6,9.3274958432,799.2038559169,0,"congue a, aliquet",dobierka,nezaplatena,Pripravuje sa
1526,40,3,416,195,12,954.4560946524,707.3192976415,1,varius. Nam porttitor scelerisque neque.,dobierka,nezaplatena,Zrusena
1502,90,329,112,504,6,696.5816360898,60.0568273198,1,facilisis lorem tristique aliquet. Phasellus fermentum,osobny_odber,zaplatena,Pripravuje sa
1402,214,110,143,510,10,63.6974934023,456.6189156845,0,Ut sagittis lobortis mauris.,dobierka,nezaplatena,Pripravuje sa
377,230,337,266,850,11,866.4034227841,450.0610277988,0,sociis natoque penatibus et,osobny_odber,zaplatena,Prijata
