id_zakaznik,id_zamestnanec,vybavuje_dodavatel,id_cas,id_tovar,popis_chyby,uznanie,vybavenie,zdovodnenie,pocet_kusov
342,125,20,21,202, ul uiscibcauost irfunc,1,0,"u ett,e,celqr,tp amsiecneuleulptde gta ",5
336,226,13,21,15,", ercihueceapttn tns unsedirssnroe ,uerc,i",1,0,"msueeF pmrurouue a ,er   ertmtutc urseqom.adls",6
525,118,18,968,247,ieerlfsau ti gves,0,1,"iscf  etlu bffltcsssiasslai,asu  gclamuiicaien ai",6
446,169,25,601,24,air.aepculu nobese sMr,0,1," denusss ne,cnnclS ,oont i noruslmu, ",2
486,205,4,329,171,"so oleit lmrtue vr ,elempe.rCora s,a",0,1,"iumemrNinaA l luau gletioe u, die uen.sauslae .l",4
86,282,28,307,163,ssetasbt.rioe rtr nacd cseCtr.aPgl sunlibuuuneue e ,0,0,"eursscnm. tslqi s, nohu Pnnicoaore",6
224,12,35,272,64,"ntpuearaeieElliia,m telbtr sgscc oie ondoe .etcitri",1,0,l uedib  tictpcatnatsrgC ereeriiuidnec.usso,4
306,6,46,232,98,lbtintuiaec.iruc oDu idCan en;c,0,1,"aiedimesp itn ntg oa.titaecEtcemui,lcse r",1
399,245,68,267,372,rnebooaaii ruuevtrmdmd .Cut  i ucil a,0,0,"ul ,medii tqpute Cs. ueasa eu dencrauPi .i,s",5
268,58,22,230,321,"aiia ra,sbmisttupvdagde  ",0,1,"onrt ir ulri nmreseticeieaet lluf,tme",2
10,106,14,949,97,nIt erigm daaneg,0,0,arersati eliit  tus.ve,2
211,14,16,467,155,nunigniaa lAlir eaagaindegip.vs dnc cu,0,1," uc femiule,terelnsoitertlmietiarnr  ",6
50,110,37,551,438, q.c spsaitF naegr  ates.auaieeumeluesugqtn ,0,1,"usnuNauqllteSds mne c eiantuital. eaueauuu gla,c d d",5
392,248,42,72,308,"tels.eme ,,uatd mSgt  ec rtacioged Suaelp.uidee",0,1,iu.cIapnoiu nstcg u nrnle uldtint.,2
419,20,69,393,33, gSde  eeedenuqet.,1,1,suipuel iidmgc nsoM tateainicntdirs.i,4
334,81,9,329,392,negcnrn hs roeuitsoous oe.Pida  lrls,0,0,"nrv asmo an st  qleoesimtaipeir,uu",3
96,100,54,619,445,"tn ltiioo locaausmbrsfg,s blaieun le u",1,0,inIae  ealtmua emtaududisnt mlg.egeauegsdsiac reua ,3
418,29,53,706,196,"t,e,viuror dtisuo casio a",0,1," uu lnngsipiccaimrdi,a  ssiritisee",1
438,82,41,807,445, rsaoo drmccirindasrnuea o eCt sltu.piees,0,1,"npiaeseset r r mim,es",2
295,99,46,104,283,"rmarliit tcee,d a nc tnttu acoam unsscnue",0,1,"lrisiiumtrtsn ,ur em elfpnugursfa a",1
135,230,65,796,139,"colb sms,ira,riiueuud  a esetovl",0,0, rtsnmusmeiiV pr. micut mnubt paerfanmuleiesu i,1
402,261,40,982,293,"rattpaesp,ilm  i uo",0,1,seou u ias M ec lsr cru.bjtmtteoiuta,1
173,47,47,611,377,uiidim ss raqus,0,0, d ilmioue  ensfemreliasnmonvsl.i.qirQu .ni gsPiu lu,4
63,250,16,963,210,se uiivSletsesp.uiciceu demesdt srq n asaue,0,1,"uii.nl tnniNc lla Sle,l eeamumasa du",3
351,202,24,230,264,tt rCquaebIu r utistle.gorndrre. t lmiieaao,0,0,"lcmtil Nsaetp ecu lti,su.uss",4
34,214,63,776,22,esaes ud iee.f.msp nssC dse stSasei langdreeem,1,1,"tmsna asncepcu vo tnii .u Pil lnuse,isirs rmruedortetdru",4
302,98,49,504,376,t visrltrmuusueimsa mmEubaat ,0,1,mQo  ipnc.. inuosqnhyi usmoDunirmceeub ,2
72,198,65,895,378,"uunistmss iqSesee, lapde",1,1," et  nudtitm s noeuvcplna,idmgiiecunD ,e miamt.em,o",1
68,201,51,782,141,mt malteuren e al caapuuepldSuor.gv,0,0," ioui s uiqeatranmlnopasm esrtv, e",4
5,130,33,320,298,.mSddieile aa tqu,1,0,.umcaaIi suna trnn  ,5
126,213,26,814,58,"ars uiu,cooovrat, eisit d",1,1,"iu,cFmlaaeqecumesn i  n",3
473,134,24,506,424,",lim  rd uucratestrnuuu",1,1,s.dttm aenntuE c btenmbues. u uufemsiai rivlmnenaeeeqm,2
236,91,26,294,283,mnta epusisdratnre tg ii,0,1," nlua,sls.eearllttuu Cu  ",5
137,222,50,350,450,l qttaie touionalhebnbmusn  qPrman.ee,0,1,miimarnrPgl atuiaia. riod s vuqumA ,3
294,113,41,847,215,udcdiut ercnitiue ns.ep   niinttuaQac unqtdU,0,0, rausaiu Cnen .a secntm rIpd a.,5
170,123,12,166,142,taNcgei nlteau lehlucsulomers  crnnouc.,0,0,nieadsunbietmeaq pi  atgtsn suo,3
72,64,27,295,97,ra  eoItliebeniqgt.elur,1,0, hulaCllaeal. usaeselu tre;mlio r nuriseo Purucesr i.bipecsFcso,3
258,268,29,952,266,nteaiisueapsuq et naon mgtb,0,0,oror.mta i cresueemmrmi p saatut les,6
4,250,34,428,67," ai nuuc,laculntencutnto rlv,dauep  u",1,0,"oe,rS n ucl tmte,ldu tissn o.e nna",1
