id_cas,id_pobocka,id_tovar,id_zamestnanec,pocet_kusov,dostupnost_tovaru
159,4,336,206,4,na objednavku
997,12,356,250,3,na ceste
454,1,289,181,1,na ceste
347,6,411,115,4,na ceste
627,10,264,240,2,nedostupne
901,10,320,122,9,nedostupne
838,4,50,232,11,skladom
874,7,329,28,1,na objednavku
643,5,149,108,9,nedostupne
806,8,168,142,8,skladom
897,6,77,180,1,na objednavku
896,4,81,71,3,na objednavku
412,7,362,137,1,na ceste
248,3,415,2,3,skladom
356,12,317,60,1,na ceste
175,10,176,16,3,na objednavku
12,12,22,236,1,nedostupne
393,10,261,64,1,nedostupne
614,8,420,135,10,nedostupne
706,7,271,169,2,skladom
851,11,391,121,4,nedostupne
486,11,61,216,6,nedostupne
25,7,344,255,4,skladom
9,5,119,87,1,skladom
992,4,419,243,15,skladom
865,8,328,233,3,skladom
433,3,7,155,3,skladom
600,6,63,15,6,nedostupne
618,2,193,277,3,skladom
452,4,303,227,4,skladom
787,7,445,186,5,nedostupne
201,12,358,254,5,nedostupne
788,6,264,249,11,na ceste
357,5,116,178,6,na ceste
713,4,110,260,1,na objednavku
760,3,181,154,14,nedostupne
271,6,55,99,3,na ceste
652,12,183,196,1,na objednavku
530,2,335,234,4,skladom
882,11,21,231,1,na objednavku
542,10,278,139,1,skladom
16,8,152,135,1,nedostupne
420,12,399,133,5,na ceste
447,5,61,4,5,skladom
912,12,350,90,5,na ceste
351,11,371,4,4,na objednavku
510,8,224,191,4,nedostupne
688,9,422,95,6,na ceste
572,4,36,30,2,na ceste
174,2,174,155,1,skladom
1000,1,127,185,2,na ceste
41,2,160,191,1,nedostupne
534,7,392,57,6,nedostupne
824,10,358,275,1,skladom
702,2,337,173,3,skladom
700,7,350,24,10,skladom
784,6,380,260,11,na objednavku
535,11,427,9,11,na objednavku
481,10,241,92,12,na ceste
143,7,141,240,1,tnouenpdse
631,11,319,187,12,na objednavku
780,9,435,31,3,skladom
849,9,419,175,3,na objednavku
463,11,323,36,3,na objednavku
991,3,45,212,3,na ceste
777,11,242,265,8,na objednavku
199,6,349,224,3,nedostupne
380,3,317,177,4,ptuondeens
656,6,37,17,2,na ceste
160,10,324,265,7,na objednavku
585,2,434,100,7,na objednavku
801,9,127,184,13,na objednavku
11,6,104,52,5,na ceste
563,9,447,127,6,na objednavku
281,5,418,271,12,na ceste
394,1,214,276,6,na ceste
250,1,292,278,11,skladom
910,4,156,282,2,skladom
739,11,124,155,7,na ceste
921,5,312,106,2,skladom
864,6,360,149,4,nedostupne
927,3,86,159,1,na objednavku
539,6,240,38,1,na objednavku
523,3,376,238,10,kmlsdao
31,8,370,212,4,na ceste
729,3,430,243,4,na ceste
613,11,333,159,4,na ceste
105,3,250,132,2,na objednavku
521,8,374,46,1,na ceste
611,12,30,26,3,na objednavku
652,6,35,193,5,skladom
