id_cas	id_tovar	id_zamestnanec	id_pobocka	id_zakaznik	druh_otazky	text_otazky	text_odpovede	uspesne_vybavenie
401	26	40	2	92	kniha	sit amet, faucibus ut,	urna. Vivamus molestie dapibus ligula. Aliquam erat volutpat. Nulla	1
469	347	254	2	54	hry	magna sed dui. Fusce aliquam, enim nec tempus scelerisque,	iaculis odio. Nam interdum enim non nisi. Aenean eget metus. In nec orci.	0
699	393	121	1	267	kniha	Donec tincidunt. Donec vitae erat vel pede	Sed auctor odio a purus. Duis elementum, dui quis accumsan convallis, ante	1
647	235	56	11	157	kniha	Vivamus molestie dapibus ligula. Aliquam	placerat velit. Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris	0
829	106	180	12	287	filmy	diam lorem, auctor quis, tristique	lectus ante dictum mi, ac mattis velit justo nec ante. Maecenas	1
313	180	224	5	424	kniha	malesuada fames ac turpis egestas. Aliquam fringilla cursus	Morbi vehicula. Pellentesque tincidunt tempus	0
669	424	87	7	281	hry	Maecenas iaculis aliquet diam. Sed diam lorem,	laoreet ipsum. Curabitur consequat, lectus	1
359	200	21	7	530	filmy	montes, nascetur ridiculus mus. Proin	blandit mattis. Cras eget nisi dictum augue malesuada	0
785	101	230	1	435	kniha	nibh dolor, nonummy ac, feugiat non, lobortis	mus. Proin vel nisl. Quisque fringilla euismod enim. Etiam gravida molestie	1
702	391	239	3	26	hry	hendrerit. Donec porttitor tellus	 lm umcus  tus ooed ttuqmemSmuses usiaqie.upie,masreeueveslpin lss les eicu u ,antamn triel,	0
611	327	245	6	292	hkian	lectus justo eu arcu. Morbi sit amet massa.	uoti ,vagrclmieeendnrullrt o eatc  tsptategeu,ia, 	1
2	421	273	8	38	hry	eget, venenatis a, magna. Lorem ipsum dolor sit amet, consectetuer	luctus felis purus ac tellus. Suspendisse sed dolor. Fusce mi lorem, vehicula	0
538	65	74	6	116	kniha	laoreet ipsum. Curabitur consequat, lectus sit	nunc, ullamcorper eu, euismod ac, fermentum	1
150	45	217	4	90	filmy	et nunc. Quisque ornare tortor at risus. Nunc ac sem	torquent per conubia nostra, per inceptos hymenaeos. Mauris ut quam	0
317	113	96	8	411	filmy	sed, hendrerit a, arcu. Sed et libero.	sem elit, pharetra ut, pharetra sed, hendrerit a, arcu. Sed et	1
819	337	230	7	71	kniha	ut dolor dapibus gravida. Aliquam tincidunt, nunc	scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris eu	0
992	451	208	7	470	kniha	ligula tortor, dictum eu, placerat eget, venenatis a, magna. Lorem	velit justo nec ante. Maecenas	1
842	334	253	9	484	filmy	blandit viverra. Donec tempus, lorem	aliquet diam. Sed diam lorem, auctor	0
841	58	268	12	206	filmy	Quisque ornare tortor at risus. Nunc	ridiculus mus. Proin vel arcu eu odio tristique pharetra. Quisque ac libero nec	1
90	53	81	6	196	hry	aptent taciti sociosqu ad	lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit elit fermentum	0
218	50	8	1	193	filmy	elit. Etiam laoreet, libero et tristique pellentesque,	aliquet lobortis, nisi nibh lacinia	1
764	407	30	4	226	hry	elit. Etiam laoreet, libero et tristique pellentesque,	lobortis tellus justo sit amet nulla. Donec non justo. Proin non	0
636	388	61	5	382	kniha	vestibulum. Mauris magna. Duis dignissim tempor	euismod enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum	1
872	284	152	6	80	filmy	aliquet. Phasellus fermentum convallis ligula.	facilisis lorem tristique aliquet. Phasellus	0
986	440	121	8	240	filmy	ultricies dignissim lacus. Aliquam rutrum lorem	Integer vitae nibh. Donec est mauris, rhoncus id, mollis nec, cursus a,	1
643	1	280	10	505	filmy	a ultricies adipiscing, enim mi	varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris eu turpis. Nulla	0
509	420	177	12	24	hry	Donec tempor, est ac mattis	nrtud. sS u,lr eFud miauvolppstaccuus m f  slcueleieisle.si oshoer e eslusdlc	1
826	397	100	2	173	filmy	velit eu sem. Pellentesque ut ipsum ac mi eleifend egestas.	ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae	0
813	364	133	4	515	kniha	ac urna. Ut tincidunt vehicula risus. Nulla eget	eolmtr,aasip supumtra i i 	1
912	449	253	10	242	iylfm	Curae	 Phasellus ornare. Fusce mollis. Duis sit amet diam eu	0
933	256	153	2	450	filmy	Cras lorem lorem, luctus ut,	nec quam. Curabitur vel lectus. Cum sociis natoque penatibus et magnis dis	1
723	450	28	3	9	filmy	sapien. Nunc pulvinar arcu	pede nec ante blandit viverra. Donec tempus, lorem	0
697	394	211	12	246	hry	veInei.n rn ai aagesnAhb.seett am	mattis ornare, lectus ante dictum mi, ac mattis velit justo nec ante.	1
700	221	230	8	451	filmy	Aliquam ornare, libero at auctor ullamcorper, nisl arcu iaculis enim,	convallis, ante lectus convallis est, vitae sodales nisi magna sed dui. Fusce aliquam, enim	0
214	347	6	1	112	hry	magna sed dui. Fusce aliquam, enim nec tempus scelerisque,	Morbi vehicula. Pellentesque tincidunt tempus	1
254	132	202	6	295	hry	elit sed consequat auctor, nunc nulla vulputate	varius et, euismod et, commodo at, libero. Morbi accumsan laoreet	0
451	48	87	9	137	filmy	Praesent eu dui. Cum sociis natoque	aliquam adipiscing lacus. Ut nec urna et arcu	1
934	414	168	4	404	filmy	Suspendisse tristique neque venenatis lacus. Etiam bibendum fermentum	rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede ac urna.	0
872	269	104	1	476	kniha	blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus	consequat auctor, nunc nulla vulputate dui, nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam	1
396	163	8	9	486	hry	egestas. Aliquam nec enim.	mattis ornare, lectus ante dictum mi, ac mattis velit justo nec ante.	0
