mesto,okres,kraj,adresa,telefonne_cislo,mail
Bratislava,BA,Bratislavský kraj,Štefánikova 4,"421,963,984,293",bratislava@bi.sk
Košice,KE,Košický kraj,Maďarská 5,"421,907,973,110",kosice@bi.sk
Prešov,PE,Prešovský kraj,Hviezdoslavova 55,"421,901,213,613",presov@bi.sk
Žilina,ZA,Žilinský kraj,SNP 12,"421,915,978,795",zilina@bi.sk
Banská Bystrica,BB,Banskobystrický kraj,Obchodná 9,"421,919,361,392",banskab@bi.sk
Nitra,NR,Nitriansky kraj,Námestie slobody 3,"421,908,930,140",nitra@bi.sk
Trnava,TT,Trnavský kraj,Továrenská 23,"421,936,172,204",trnava@bi.sk
Martin,MT,Žilinský kraj,Žilinská cesta 19,"421,980,168,029",martin@bi.sk
Trenčín,TN,Trenčiansky kraj,Furdekova 13,"421,905,519,540",trencin@bi.sk
Poprad,PP,Prešovský kraj,Bulíkova 6,"421,934,345,749",poprad@bi.sk
Prievidza,PD,Trenčiansky kraj,Dolná 12,"421,945,678,617",prievidza@bi.sk
Zvolen,ZV,Banskobystrický kraj,Májkova,"421,972,453,653",zvolen@bi.sk
